case_submitter_id	SRF	FOXO1	KLF16	EBF1	STAT5A	BCL6	IRF8	ZEB1	TCF3	RUNX1	FOXJ3	TAL1	RFX5	FOXO3	VDR	ELF2	ETS1	YBX1	IRF1	ELF1	RARA	E2F3	ZNF740	MAFK	MAZ	ESRRA	AR	JUND	SPI1	IRF5	TBX5	ERG	HMGA1	STAT3	SP2
C3L-00001	241.46445127992405	192.7893133159131	162.71651111236883	63.12022721401179	114.5865358484732	167.82305683652095	176.75169040011764	112.97199520326613	253.7517562806928	123.193144124616	141.7687102380345	412.96898306634165	-32.92719053554245	263.6987987719241	63.59194038540619	125.41592889829731	131.92088787837974	264.18510487729935	229.21143289814253	197.20925162340268	352.8453628003799	26.753414861723044	-8.237671501562062	220.36917315664442	384.52529145723474	829.7257402430687	-28.124233920757618	246.20585990664875	1093.3995412484087	99.46722743796073	253.8910055902091	208.77800257296488	137.19736906014066	406.6099870263652	231.3854044001557
C3L-00009	245.76381694754588	202.71260174169927	162.43467644930703	76.90456865173125	127.40652116862331	180.3337697656302	186.1592807845127	129.97208612441972	255.67300294978523	117.96180321572083	148.6016112323174	427.32252508949136	-25.39447785001765	258.83288482497966	70.56036510968895	135.91596666881725	136.68440039213343	280.9794690516919	236.02182580030657	205.03763007850768	350.84621343574224	33.20316745885701	-14.54870140680437	221.15615045022994	385.1861708345406	841.8829388155447	-24.865792246473674	243.64913634223086	1141.1125377273577	107.54829377684396	251.72626550000086	220.29991652190765	130.59101081599118	417.264548017439	227.6371953738395
C3L-00080	238.36199343058712	186.7102810807622	162.98402122514403	52.186739549936036	119.88569412348177	178.3743762221174	180.2837645946728	106.54764270563682	260.1007801226353	117.89002070218751	133.61808944323417	422.7761265583458	-35.869792207550034	266.85334711968943	75.23628066396013	119.59399382276015	125.88959132935204	273.7080143387224	226.21112177188812	192.4192126595161	350.41009705022327	25.698572147178652	-0.01846710376113947	224.17239921078234	393.66415778095734	850.399847120603	-33.96378825113979	246.24306811231264	1115.8332648135606	118.6909860730517	265.66008125180446	203.80872792056672	131.53940618880594	416.3224545268959	233.52942722346964
C3L-00083	265.95458562880697	215.96020539032486	182.71723062863794	88.14661607630754	134.74266858522572	197.74652421341614	193.54162889165363	135.53821216771723	287.8949476446258	122.44892727337619	127.7723466179818	473.328663626648	-31.56349055533761	275.25917818150856	71.80078404638175	150.22760038997473	152.041275364123	262.6201191457414	254.99336135172743	202.10796709865625	384.8036557697214	38.960305195778005	-7.2446496864804715	241.48626356716164	415.5642452199141	865.4201927635003	-16.41699973395859	263.3469946052806	1184.0164351404035	106.01528079444773	270.03329277484966	237.23479867596475	135.14178242844582	426.2340280995415	255.99532061509768
C3L-00093	253.67079214818355	201.01710893491816	165.0043925519849	77.16596194720795	131.31756372518305	183.78459323374045	190.90555663975775	122.24546486250767	254.95716398536837	121.14878436668269	142.70145594364553	434.8185978238149	-23.544121208376566	270.0105226102628	67.79810239028511	131.09846912666222	137.03789635143875	285.0853735692472	247.09738679162245	207.086504305858	356.20716690763004	38.2641814935354	-16.591695658129012	224.6995732264122	390.9163003862997	860.6565827432968	-29.27660420938163	259.83219675887227	1147.9312423503145	111.35425248521116	263.0603169130839	215.4220396000089	137.8675019404946	420.6461893062804	230.4511282279116
C3L-00094	247.01130843011816	197.94359316395483	164.2692072512978	70.74895814788985	127.47211897883732	172.18851093712527	185.24316670523535	113.00024271741165	263.7540110653757	121.42490052884902	145.72469569164807	420.44036557164435	-22.418290854792403	267.74342914422004	74.55942400536094	127.79076922354302	132.78154477610866	266.3659457482354	230.29053023845987	196.55367352242465	354.8531292068914	30.548585535260074	0.6749072773352367	211.67873060521526	394.90100096768094	855.415070519454	-32.482468513226166	244.42591458552005	1118.515059324886	103.7356319384875	239.67612408543062	215.48082517599346	126.44242409248268	413.0080718384414	233.97470627674264
C3L-00095	254.8286934982687	204.60963606850197	172.57020991268283	78.33377987148972	125.45948048869548	199.51692934238207	186.8777511584112	118.82475456377546	261.3326287987229	124.1363922102387	140.22470209607957	432.04857321113906	-24.16371909423519	274.38455309792835	71.01461986979814	133.3381575783238	144.12831509443555	276.30666030166316	245.95295112005908	213.51294188284132	366.6192331488032	37.88514764811647	-15.121073891167086	231.85427359129994	392.0455140375241	861.9692140216753	-29.39497323122501	267.59578878094413	1139.630169531953	106.24837330950116	255.8498140025351	218.45880771230608	139.7163400282516	428.87890293579323	231.54253629394725
C3L-00140	234.16663271893256	183.93440863552397	169.26353726379728	49.02907914832295	119.51750452714424	169.10993388844759	183.65719848332787	104.82163267197204	258.51357460673484	117.75662273801024	140.7692706771512	404.76456098774804	-18.06786990235085	273.9538740883668	76.05895665062518	119.27207624227478	127.82397339467047	276.738762453366	224.37392772566116	198.43139409544372	350.715608639464	30.59139075136808	-9.835223225655653	215.966180363669	400.55678998290995	890.7843363069474	-46.49504933838689	242.52647219572023	1130.1644953413002	112.08225950745297	224.2202305135381	198.43034715591392	129.94817178698827	417.81547241457605	228.946003102353
C3L-00144	245.17454023865287	195.4638089656885	166.14687758796185	68.97667579389054	124.53681528513411	181.5143630594768	183.7307573557024	116.66672711463958	264.43019081475205	122.06092411678651	140.76124453608787	437.11971839992697	-31.051861819889425	274.14967706666863	64.6466184483198	125.8504605056081	132.5153487052543	267.27148346494295	229.17396715846053	197.78404386006133	352.57677610670004	29.27362766769494	-7.62148277002143	218.32188672855239	393.25877123599906	840.4756077006459	-23.921489910211022	244.42347923371682	1122.14365722604	108.09181651821011	261.449551044961	216.79097199155956	133.43776794819468	405.61774933606415	238.76946334983543
C3L-00263	256.8143516546437	205.86465022993775	175.49148339779285	74.21444574310468	129.10309443899467	187.4235430081448	192.83753724476168	129.9795730251589	262.1413223148146	122.5332546513238	140.00487761361438	430.7067547325395	-27.353480837146293	267.1049516719764	67.11576261567764	135.0465931555843	143.0947642246367	275.68107337744544	251.68501111664887	208.59565630231572	367.03089327037594	37.00839751823483	-15.839648534148907	228.95931049737166	389.2999075184962	850.6270866420899	-29.627451434144717	261.53787561849487	1159.6564241326644	112.1552538342604	246.80462305303269	218.92628105193012	132.30880551578355	427.87918597675423	239.83949223423662
