"TF" "Target" "Score" "Likelihood"
"TBX4" "CARD10" "0.716699552692207" "0.042957042957043"
"TBX4" "COX4I2" "0.567993807073605" "0.04995004995005"
"TBX4" "ASAP2" "0.574451766474553" "0.001998001998002"
"HMBOX1" "DAAM1" "0.706508442597832" "0.256743256743257"
"IRF4" "LAG3" "0.541081653300179" "0.0569430569430569"
"IRF4" "GCOM1" "-0.605967038834251" "0.0009990009990009"
"MYB" "FHOD3" "0.687347582282676" "0.0849150849150849"
"MYB" "BPHL" "0.555842034045624" "0.0009990009990009"
"MYB" "C11orf52" "0.558476589181348" "0.002997002997003"
"MYB" "SORBS2" "0.624711395641239" "0.022977022977023"
"MYB" "FAM47E" "0.641104001840189" "0.010989010989011"
"CEBPA" "PALLD" "-0.607488653750915" "0.0579420579420579"
"CEBPA" "LPP" "-0.554938645498171" "0.003996003996004"
"CEBPA" "DAPK1" "0.609745474127514" "0.0089910089910089"
"STAT6" "PIGQ" "0.625006102625277" "0.002997002997003"
"STAT6" "LLGL2" "0.634238093911753" "0.117882117882118"
"STAT6" "IZUMO4" "0.541209528417163" "0.031968031968032"
"STAT6" "GGA1" "0.628092164948974" "0.0059940059940059"
"STAT6" "TTLL12" "0.704983003533248" "0.826173826173826"
"STAT6" "RABGGTA" "0.660151579721172" "0.0619380619380619"
"STAT6" "HS1BP3" "0.638206511849228" "0.158841158841159"
"STAT6" "MBOAT7" "0.640265814333748" "0.0009990009990009"
"STAT6" "LPP" "-0.567310290309859" "0.014985014985015"
"STAT6" "RAB4B" "0.650672246360521" "0.381618381618382"
"STAT6" "SLC35A4" "0.653107054165799" "0.0679320679320679"
"STAT6" "SEC24C" "0.578938662147445" "0.012987012987013"
"STAT6" "EGLN2" "0.557337188774272" "0.0009990009990009"
"SMAD4" "CRYAB" "0.543198638696526" "0.0009990009990009"
"SMAD4" "RAC2" "-0.564522697110663" "0.0009990009990009"
"SMAD4" "GDF15" "-0.611068982914551" "0.0069930069930069"
"SMAD4" "GCOM1" "0.575309758664513" "0.0009990009990009"
"SMAD4" "TMC6" "-0.665094356793784" "0.0009990009990009"
"SMAD4" "SPARCL1" "0.540922729970131" "0.002997002997003"
"SMAD4" "CMTM7" "-0.594453261219758" "0.026973026973027"
"SMAD4" "PLA2G4E" "-0.548429235201276" "0.001998001998002"
"SMAD4" "IER5L" "-0.531397250026484" "0.0619380619380619"
"SMAD4" "MPEG1" "-0.606769805958127" "0.036963036963037"
"HOXB5" "PTK2B" "-0.626958196701904" "0.001998001998002"
"PKNOX2" "TSPAN9" "0.670010900834291" "0.023976023976024"
"PKNOX2" "COX4I2" "0.544717675257082" "0.034965034965035"
"PKNOX2" "TGFB1I1" "0.56249030305287" "0.013986013986014"
"PKNOX2" "JPH2" "0.604409347787333" "0.02997002997003"
"PKNOX2" "CACNA1C" "0.735600580697729" "0.0799200799200799"
"PKNOX2" "VAV2" "0.686801791266331" "0.683316683316683"
"PKNOX2" "TDRD10" "0.547444727601958" "0.028971028971029"
"PKNOX2" "C2" "-0.564785029994076" "0.0009990009990009"
"PKNOX2" "ADCY5" "0.660328194947835" "0.218781218781219"
"PKNOX2" "ADARB1" "0.699596160019393" "0.033966033966034"
"HNF1B" "PPP1R13B" "0.558094504993813" "0.0069930069930069"
"HNF1B" "LIMD1" "0.582713945959967" "0.0089910089910089"
"HNF1B" "IL17RE" "0.542042907841428" "0.0009990009990009"
"SP2" "RPS6KA2" "0.552695430552131" "0.001998001998002"
"SP2" "TNS1" "0.730515359346024" "0.0009990009990009"
"SP2" "DLGAP4" "0.808409600987729" "0.0889110889110889"
"SP2" "UNC13D" "0.533730048170826" "0.013986013986014"
"SP2" "MYH9" "0.573587990882701" "0.0009990009990009"
"SP2" "ENG" "0.690120879294149" "0.142857142857143"
"SP2" "GIT1" "0.559972549324147" "0.0009990009990009"
"SP2" "CASC3" "0.547719671805929" "0.0009990009990009"
"SP2" "ATN1" "0.843276497804877" "0.002997002997003"
"SP2" "RPA2" "-0.581504275600205" "0.010989010989011"
"SP2" "SIN3B" "0.640343447826634" "0.012987012987013"
"SP2" "EPS15L1" "0.613927109434999" "0.002997002997003"
"SP2" "DOCK6" "0.661927647187753" "0.0089910089910089"
"SP2" "MDC1" "0.807700832881734" "0.0059940059940059"
"SP2" "ATAT1" "0.649282341440204" "0.275724275724276"
"SP2" "PML" "0.618667172398302" "0.013986013986014"
"SP2" "SNRNP200" "0.580508326883776" "0.122877122877123"
"SP2" "CMIP" "0.77215644776662" "0.133866133866134"
"SP2" "KLHL26" "0.552720554176903" "0.0069930069930069"
"SP2" "NLGN2" "0.619159414172683" "0.003996003996004"
"SP2" "SYNPO" "0.683486292892505" "0.001998001998002"
"SP2" "CKS1B" "-0.533801453005181" "0.0709290709290709"
"SP2" "TECPR2" "0.588316017410089" "0.0089910089910089"
"SP2" "CDC42BPB" "0.67264266940293" "0.012987012987013"
"SP2" "LY6G5B" "0.585292678174714" "0.047952047952048"
"SP2" "PCDHGC3" "0.574109421572202" "0.0009990009990009"
"DMRTA1" "MYH9" "-0.620142885948893" "0.015984015984016"
"DMRTA1" "ZFP36L2" "-0.556589522820731" "0.011988011988012"
"HMGA1" "NADK" "0.656670756123114" "0.0099900099900099"
"HMGA1" "MVP" "0.649463527453566" "0.001998001998002"
"HMGA1" "CD44" "0.742081924197071" "0.0099900099900099"
"HMGA1" "BAX" "0.672587532572177" "0.0009990009990009"
"HMGA1" "EEF2K" "-0.615634554905861" "0.014985014985015"
"HMGA1" "BCKDK" "0.683825078727671" "0.045954045954046"
"HMGA1" "DHDH" "0.55024065657265" "0.001998001998002"
"HMGA1" "PLIN3" "0.775414553650314" "0.358641358641359"
"HMGA1" "FAM20A" "0.652459687838164" "0.004995004995005"
"HMGA1" "PITPNM1" "0.550842254209456" "0.02997002997003"
"HMGA1" "TOMM40" "0.699744025621286" "0.011988011988012"
"HMGA1" "MYO1G" "0.669294660284766" "0.0089910089910089"
"HMGA1" "SLC16A3" "0.754883606375047" "0.002997002997003"
"HMGA1" "LHFPL2" "0.643706980813776" "0.018981018981019"
"HMGA1" "SERP2" "-0.604904212138932" "0.148851148851149"
"HMGA1" "PI4K2A" "0.661271791078435" "0.001998001998002"
"HMGA1" "KCNK5" "0.553342668241085" "0.0089910089910089"
"HMGA1" "MORN4" "-0.681318807995476" "0.0069930069930069"
"HMGA1" "ARHGEF37" "-0.621210168252444" "0.010989010989011"
"HMGA1" "KLHL33" "-0.641540012166888" "0.0009990009990009"
"HMGA1" "MUC21" "0.551915841616534" "0.0009990009990009"
"HIF1A" "GTPBP4" "0.879943183256406" "0.152847152847153"
"HIF1A" "LDHA" "0.900385315350151" "0.822177822177822"
"HIF1A" "GRTP1" "-0.535362630515672" "0.0569430569430569"
"HIF1A" "ADM" "0.747689248491787" "0.104895104895105"
"HNF4G" "RHOV" "0.760428011364401" "0.0939060939060939"
"HNF4G" "RBM24" "0.584303784926135" "0.0009990009990009"
"HNF4G" "FUT2" "0.598860739032016" "0.10989010989011"
"HNF4G" "SLC44A4" "0.846858665454788" "0.001998001998002"
"HEY1" "SORBS2" "0.541343367465135" "0.0009990009990009"
"HEY1" "MIR3679" "-0.530703219111399" "0.0009990009990009"
"SNAI1" "OSGEP" "-0.535942618320123" "0.0079920079920079"
"SNAI1" "A4GALT" "0.556036230283714" "0.0089910089910089"
"SNAI1" "CDC42EP2" "0.710756277073876" "0.0009990009990009"
"SNAI1" "SHC1" "0.704177249072216" "0.010989010989011"
"SNAI1" "NOS3" "0.547396472797598" "0.0009990009990009"
"SNAI1" "CDC42EP4" "0.682943979752676" "0.002997002997003"
"TBX1" "PRRT3" "0.628751293692932" "0.004995004995005"
"YY1" "STARD7" "0.552437872293194" "0.228771228771229"
"YY1" "QKI" "0.612754875231412" "0.043956043956044"
"YY1" "RIN2" "0.609604993334066" "0.030969030969031"
"YY1" "FGD5" "0.535957786359498" "0.0099900099900099"
