"TF"	"mra_TUMvsNAT_regNAT_regulon_dbck.nes"	"mra_TUMvsNAT_regNAT_regulon_dbck.pvalue"
"AR"	-17.3036949076303	4.41164976351044e-67
"BCL6"	-4.18224563901239	2.886438659344e-05
"E2F3"	20.8660227295055	1.09037254881128e-96
"EBF1"	-9.35876728647555	8.06723716694383e-21
"ELF1"	-6.55869264188932	5.42815516558734e-11
"ELF2"	-5.72754979650479	1.01891534113467e-08
"ERG"	-24.9578414389938	1.75532612266132e-137
"ESRRA"	11.5071992505584	1.21355836202953e-30
"ETS1"	-16.2084235441734	4.39703427919366e-59
"FOXJ3"	-15.8440587021558	1.54517408977731e-56
"FOXO1"	-4.10693091157346	4.00951092982447e-05
"FOXO3"	-7.94088469752743	2.00744221611343e-15
"HMGA1"	12.9166786703353	3.62452181945103e-38
"IRF1"	-4.84168150674682	1.28745000877428e-06
"IRF5"	4.65701289370935	3.20830359036194e-06
"IRF8"	-9.5397588840966	1.43164781180534e-21
"JUND"	-4.74936811113461	2.04053221251985e-06
"KLF16"	6.21594990890232	5.10150773958934e-10
"MAFK"	-5.80867572079007	6.29689174667447e-09
"MAZ"	8.61061164471474	7.26717859272938e-18
"RARA"	-8.53057753854496	1.45618891996344e-17
"RFX5"	-1.46304541201015	0.143454953240904
"RUNX1"	16.1068674114286	2.28300207913653e-58
"SP2"	7.37737667308602	1.61438792847138e-13
"SPI1"	-5.14859803226666	2.62440614095382e-07
"SRF"	-11.0585360759695	1.99324136916746e-28
"STAT3"	3.87510281969664	0.000106579687500689
"STAT5A"	-4.13436637705406	3.55935270905161e-05
"TAL1"	-20.2354232027824	4.77509508112739e-91
"TBX5"	-17.2566130058954	9.97954900752372e-67
"TCF3"	-5.01153990228401	5.39961836645081e-07
"VDR"	9.79416057645712	1.19284065326224e-22
"YBX1"	-3.78406334818461	0.000154288525092468
"ZEB1"	-10.5494210688542	5.11110467620855e-26
"ZNF740"	9.69145791618211	3.27815323357207e-22
